ID,Sensor Type,Generation,Description,Road Class,Compass Direction,Points,
E0001,RTEM Speed,Automatic,A45 Coventry Road / Holder Road,A,-1,52.462635:-1.8245286,
E0001,RTEM Speed,Automatic,A45 Coventry Road / Holder Road,A,-1,52.462418:-1.823823,
E0001,RTEM Speed,Automatic,A45 Coventry Road / Holder Road,A,-1,52.462418:-1.823823,
E0001,RTEM Speed,Automatic,A45 Coventry Road / Holder Road,A,-1,52.462337:-1.8235731,
E0001,RTEM Speed,Automatic,A45 Coventry Road / Holder Road,A,-1,52.462318:-1.8228667,
E0002,RTEM Speed,Automatic,Station 0002,A,-1,0,
E0002,RTEM Speed,Automatic,Station 0002,A,-1,0,
E0003,RTEM Speed,Automatic,Station 3,A,-1,52.462635:-1.8245286,
E0003,RTEM Speed,Automatic,Station 3,A,-1,52.462635:-1.8245286,
E0003,RTEM Speed,Automatic,Station 3,A,-1,52.462635:-1.8245286,
E0003,RTEM Speed,Automatic,Station 3,A,-1,52.462635:-1.8245286,
E0101,RTEM Speed,Automatic,A38M Dartford Circus ATC Site,A,-1,0,
E0101,RTEM Speed,Automatic,A38M Dartford Circus ATC Site,A,-1,0,
E0199,RTEM Speed,Automatic,Station 199,A,-1,52.462635:-1.8245286,
E0199,RTEM Speed,Automatic,Station 199,A,-1,52.462635:-1.8245286,
E0199,RTEM Speed,Automatic,Station 199,A,-1,52.462635:-1.8245286,
E0199,RTEM Speed,Automatic,Station 199,A,-1,52.462635:-1.8245286,
E0500,RTEM Speed,Automatic,Station 0500,A,-1,0,
E0500,RTEM Speed,Automatic,Station 0500,A,-1,0,
E0500,RTEM Speed,Automatic,Station 0500,A,-1,0,
E0500,RTEM Speed,Automatic,Station 0500,A,-1,0,
E0613,RTEM Speed,Automatic,Heath Mill Lane / Liverpool Street / Fazeley Street,A,-1,52.477296:-1.8810075,
E0613,RTEM Speed,Automatic,Heath Mill Lane / Liverpool Street / Fazeley Street,A,-1,52.477313:-1.8803302,
E0613,RTEM Speed,Automatic,Heath Mill Lane / Liverpool Street / Fazeley Street,A,-1,52.477646:-1.8809771,
E0613,RTEM Speed,Automatic,Heath Mill Lane / Liverpool Street / Fazeley Street,A,-1,52.477646:-1.880344,
E0622,RTEM Speed,Automatic,Station 622,A,-1,52.462635:-1.8245286,
E0622,RTEM Speed,Automatic,Station 622,A,-1,52.462635:-1.8245286,
E0622,RTEM Speed,Automatic,Station 622,A,-1,52.462635:-1.8245286,
E0622,RTEM Speed,Automatic,Station 622,A,-1,52.462635:-1.8245286,
E0642,RTEM Speed,Automatic,Station 642,A,-1,52.462635:-1.8245286,
E0642,RTEM Speed,Automatic,Station 642,A,-1,52.462635:-1.8245286,
E0642,RTEM Speed,Automatic,Station 642,A,-1,52.462635:-1.8245286,
E0642,RTEM Speed,Automatic,Station 642,A,-1,52.462635:-1.8245286,
E0645,RTEM Speed,Automatic,Station 645,A,-1,52.462635:-1.8245286,
E0645,RTEM Speed,Automatic,Station 645,A,-1,52.462635:-1.8245286,
E0645,RTEM Speed,Automatic,Station 645,A,-1,52.462635:-1.8245286,
E0645,RTEM Speed,Automatic,Station 645,A,-1,52.462635:-1.8245286,
E0735,RTEM Speed,Automatic,Station 735,A,-1,52.462635:-1.8245286,
